trip_duration_days,miles_traveled,total_receipts_amount,expected_output,predicted,error,expected_cents,predicted_cents
3,93.0,1.42,364.51,364.5444811190847,0.03448111908471674,51.0,54.44811190847395
1,55.0,3.6,126.06,126.02435303000283,0.03564696999717398,6.0,2.435303000282147
1,47.0,17.97,128.91,128.99939930323634,0.08939930323634826,91.0,99.93993032363505
3,88.0,5.78,380.37,380.2661795805355,0.10382041946451182,37.0,26.617958053546317
1,76.0,13.74,158.35,158.36090586446252,0.01090586446252928,35.0,36.09058644625293
1,140.0,22.71,199.68,199.51824217866752,0.16175782133248617,68.0,51.824217866753315
3,121.0,21.17,464.07,463.9479469715489,0.12205302845109145,7.0,94.79469715488813
3,117.0,21.99,359.1,359.22274337439944,0.12274337439941974,10.0,22.274337439943338
2,202.0,21.24,356.17,356.14959806524433,0.020401934755682305,17.0,14.959806524435407
2,21.0,20.04,204.58,204.59095421594648,0.010954215946469503,58.0,59.09542159464763
3,177.0,18.73,430.86,430.8311909856396,0.028809014360433594,86.0,83.11909856395505
1,141.0,10.15,195.14,195.1636861602352,0.02368616023520076,14.0,16.36861602351928
1,58.0,5.86,117.24,117.35199154849516,0.11199154849516901,24.0,35.19915484951707
1,133.0,8.34,179.06,179.1140645218546,0.05406452185459898,6.0,11.406452185459784
2,89.0,13.85,234.2,234.2166177139682,0.016617713968201997,20.0,21.66177139681895
2,147.0,17.43,325.56,325.66128477559,0.10128477558998839,56.0,66.1284775589993
5,130.0,306.9,574.1,573.9933313740079,0.10666862599214255,10.0,99.33313740079029
5,173.0,1337.9,1443.96,1444.06263913451,0.10263913450990003,96.0,6.26391345099546
5,592.0,433.75,869.0,869.0960654524994,0.09606545249937426,0.0,9.606545249931514
5,679.0,476.08,1030.41,1030.3338176372747,0.07618236272537615,41.00000000001455,33.38176372747694
5,708.0,1129.52,1654.62,1654.4216584943856,0.19834150561428032,62.0,42.16584943854832
5,261.0,464.94,621.12,621.2538215344531,0.13382153445309086,12.0,25.382153445309086
5,794.0,511.0,1139.94,1139.8257861904221,0.11421380957790461,94.0,82.57861904220772
5,521.0,1448.55,1624.01,1623.9865354186372,0.023464581362759418,1.0,98.65354186372133
5,595.0,863.93,1231.67,1231.801686794633,0.1316867946329694,67.0,80.16867946329876
5,811.0,952.39,1608.6,1608.535069649725,0.06493035027483529,60.0,53.50696497250465
5,730.0,485.73,991.49,991.6218891538754,0.13188915387536326,49.0,62.188915387538145
5,262.0,1173.79,1485.59,1485.4219672581405,0.1680327418594061,59.0,42.196725814050296
5,446.0,219.98,788.62,788.556309146089,0.06369085391099816,62.0,55.63091460890428
5,751.0,407.43,1063.46,1063.236729890536,0.2232701094640106,46.0,23.672989053608035
5,324.0,128.94,686.54,686.6677516452937,0.12775164529375616,54.0,66.77516452937562
5,414.0,967.0,1368.94,1368.9045322191114,0.03546778088866631,94.0,90.45322191112791
5,367.0,290.78,742.25,742.3552697645971,0.10526976459709658,25.0,35.52697645970329
5,764.0,848.75,1468.46,1468.4702083736925,0.010208373692421446,46.0,47.020837369258516
5,249.0,873.75,1185.24,1185.1869104723814,0.053089527618567445,24.0,18.691047238142346
8,862.0,1817.85,1719.37,1719.5823786269596,0.21237862695966214,37.0,58.23786269596894
11,927.0,1994.33,1779.12,1779.279454985781,0.15945498578116712,12.0,27.94549857810489
9,602.0,186.69,1085.4,1085.2669085374669,0.1330914625332298,40.00000000001455,26.69085374668066
8,610.0,208.29,841.27,841.3177854519276,0.047785451927666145,27.0,31.778545192762977
12,333.0,1103.21,1618.13,1618.1676002216504,0.03760022165033661,13.0,16.76002216505003
8,435.0,1129.65,1525.26,1524.981276159385,0.27872384061492994,26.0,98.1276159385161
9,218.0,1203.45,1561.63,1561.4051094956392,0.2248905043609284,63.0,40.51094956390443
12,781.0,1159.18,1752.72,1752.8419989777758,0.12199897777577462,72.0,84.19989777758019
11,916.0,1036.91,2098.07,2097.827052551421,0.24294744857934347,7.000000000029104,82.70525514209294
10,358.0,2066.62,1624.11,1623.8946501736325,0.21534982636740096,11.0,89.46501736325445
12,566.0,2013.7,1752.03,1752.1643660890966,0.13436608909660208,3.0,16.43660890965839
9,954.0,1483.39,2024.2,2023.9749721637982,0.22502783620188893,20.0,97.49721637982293
9,534.0,1929.94,1624.87,1624.8934716787012,0.023471678701298515,87.0,89.34716787011712
12,765.0,1343.97,1953.03,1952.8125887677174,0.21741123228252945,3.0,81.25887677175342
8,630.0,967.69,1388.05,1388.0906323571414,0.04063235714147595,5.0,9.063235714129405
10,909.0,696.0,1505.19,1505.2319204848463,0.041920484846286854,19.0,23.192048484634142
10,223.0,745.89,1037.45,1037.5013350846666,0.05133508466656167,45.0,50.13350846666435
8,467.0,1178.71,1483.33,1483.4860439562085,0.15604395620857758,33.0,48.604395620845025
9,708.0,461.07,1110.6,1110.7529151930962,0.1529151930963053,59.99999999998545,75.29151930962689
9,885.0,1764.97,1694.37,1694.5589339471549,0.1889339471549647,37.0,55.89339471547282
6,855.0,591.35,1339.72,1339.6510360440232,0.06896395597686933,72.0,65.10360440230579
2,993.0,54.24,715.19,715.1296704515753,0.060329548424761015,19.0,12.967045157536631
3,981.0,341.45,813.95,813.7771333734897,0.17286662651031293,95.0,77.7133373489778
5,770.0,873.33,1502.49,1502.3963709368884,0.09362906311162078,49.0,39.63709368882701
6,697.0,651.64,1237.71,1237.7363160593102,0.026316059310147466,71.0,73.6316059310193
3,795.0,450.85,743.94,744.0936562865624,0.15365628656229546,94.0,9.36562865623273
3,606.0,1184.23,1364.54,1364.6912271923284,0.1512271923284061,54.0,69.12271923283697
3,842.0,865.37,1251.14,1251.0822164226965,0.0577835773035531,14.000000000014552,8.221642269651056
7,748.0,241.73,971.31,971.5359977022817,0.22599770228180205,31.0,53.59977022817475
7,624.0,148.16,905.79,905.7794175919809,0.01058240801910415,79.0,77.94175919808913
2,713.0,740.33,1048.28,1048.248700475679,0.03129952432095706,28.0,24.870047567907022
3,874.0,1191.4,1515.99,1516.0811941836919,0.0911941836918686,99.0,8.119418369198684
6,761.0,530.19,1120.1,1120.117690274197,0.01769027419709346,9.999999999985448,11.769027419693884
1,815.0,97.89,539.36,539.4278765235922,0.0678765235921901,36.0,42.787652359220374
7,817.0,1127.87,1809.91,1809.942791666972,0.032791666971888844,91.0,94.27916669720435
1,606.0,923.0,1050.05,1050.0286711250299,0.021328874970095058,5.0,2.8671125029795803
1,909.0,741.82,866.07,866.0821772582578,0.012177258257793255,7.0,8.217725825787056
3,624.0,1160.92,1459.34,1459.1938890342867,0.1461109657132056,34.0,19.38890342868399
4,650.0,619.49,676.38,676.5322016560131,0.15220165601306235,38.0,53.22016560130578
6,204.0,818.99,628.4,628.560450470488,0.16045047048805827,40.0,56.04504704880674
1,263.0,396.49,198.42,198.56915493101633,0.1491549310163407,42.0,56.915493101631
1,451.0,555.49,162.18,162.301764972861,0.1217649728610013,18.0,30.17649728610013
10,424.0,474.99,831.96,832.0608037733518,0.10080377335179946,96.0,6.080377335179946
2,565.0,389.49,415.96,416.08445957927245,0.12445957927246809,96.0,8.445957927244308
9,397.0,348.49,913.29,913.3754954182594,0.08549541825948381,29.0,37.54954182593792
1,532.0,413.99,355.57,355.55337446222654,0.016625537773450105,57.0,55.33744622265658
2,384.0,495.49,290.36,290.44353011914353,0.08353011914351782,36.0,44.35301191435428
5,754.0,489.99,765.13,765.269640789368,0.1396407893680589,13.0,26.964078936798614
1,344.46,813.85,707.88,707.8676193073378,0.012380692662190995,88.0,86.76193073377362
3,906.3,540.03,848.42,848.393238601892,0.02676139810796485,42.0,39.32386018919351
3,1007.56,187.52,764.64,764.8562395013118,0.2162395013118612,64.0,85.6239501311793
1,359.62,221.15,255.57,255.6476036534201,0.07760365342011255,57.0,64.76036534201194
1,362.79,749.19,636.51,636.5479759529125,0.03797595291246125,51.0,54.79759529124567
1,288.72,159.26,303.94,303.90881862823375,0.031181371766251686,94.0,90.88186282337483
2,782.17,830.72,1165.44,1165.3872752038365,0.05272479616360215,44.0,38.72752038364706
2,623.18,347.54,625.15,625.0687056049035,0.08129439509650638,15.0,6.87056049034436
3,1061.15,388.5,693.36,693.4574778907948,0.09747789079483482,36.0,45.74778907948348
1,252.75,285.5,331.74,331.63722525577936,0.10277474422065325,74.0,63.72252557793399
3,1020.39,250.62,779.08,778.9756967506459,0.10430324935418867,8.0,97.5696750645875
1,257.97,816.81,738.01,737.9294641048567,0.08053589514327086,1.0,92.94641048567428
3,1025.03,592.55,992.4,992.3330180421569,0.06698195784304062,40.0,33.301804215690936
2,794.32,402.31,671.06,670.9320101554251,0.1279898445748131,6.0,93.20101554250869
2,851.68,473.96,650.68,650.8211332208546,0.14113322085461277,67.99999999999272,82.11332208545355
3,859.12,611.07,960.47,960.5045528618649,0.03455286186488138,47.0,50.45528618649405
3,1317.07,476.87,787.42,787.4021783559737,0.0178216440262986,42.0,40.217835597359226
1,388.1,827.37,741.46,741.4090525369476,0.050947463052466446,46.0,40.90525369475654
5,198.21,594.83,807.48,807.395530552402,0.0844694475980532,48.0,39.55305524019059
6,72.85,457.75,666.59,666.5121582793863,0.07784172061371919,59.0,51.2158279386349
8,297.64,481.09,835.08,835.0677266105055,0.0122733894945668,8.0,6.772661050548777
7,237.33,1262.27,1452.17,1452.423305198912,0.25330519891190306,17.0,42.33051989119849
5,195.73,1228.49,511.23,511.53512833250426,0.3051283325042391,23.0,53.51283325042459
8,276.28,1179.9,1522.6,1522.6293227416757,0.02932274167574178,60.0,62.93227416757145
8,302.24,1046.04,1353.77,1353.956834297048,0.18683429704810806,77.0,95.68342970480444
8,266.87,252.08,880.41,880.3375411913294,0.0724588086706035,41.0,33.75411913293647
9,310.69,239.64,828.16,828.2380407479963,0.07804074799628324,16.0,23.804074799627415
6,222.08,709.07,1031.34,1031.204267529763,0.13573247023691692,33.99999999998545,20.42675297630194
8,264.94,720.67,1019.85,1019.7924424604712,0.05755753952882969,85.0,79.24424604712112
8,161.15,1230.37,1499.24,1499.1510270975264,0.08897290247364253,24.0,15.102709752623923
9,259.96,554.74,835.54,835.7496564343294,0.2096564343294176,54.0,74.96564343293721
9,97.85,518.56,850.57,850.4830566475836,0.08694335241648332,57.0,48.305664758358034
9,194.34,1054.93,1374.9,1374.921292959032,0.021292959031825376,90.0,92.12929590319982
9,332.35,374.61,830.45,830.576790340598,0.12679034059794958,45.0,57.6790340597945
5,126.44,696.14,845.35,845.2841613791836,0.06583862081640746,35.0,28.416137918364257
5,66.13,848.03,1050.25,1050.2115876331407,0.03841236685934746,25.0,21.158763314058888
6,135.34,1144.13,1478.11,1477.9491373778926,0.1608626221072882,11.0,94.91373778926209
6,233.7,346.98,648.57,648.6354681038506,0.06546810385054869,57.000000000007276,63.54681038505805
9,849.0,1007.41,1785.47,1785.4063763788567,0.0636236211432788,47.0,40.637637885665754
6,806.0,1760.64,1718.76,1718.933956415674,0.17395641567395614,76.0,93.39564156738925
8,891.0,1194.36,2016.46,2016.447865929904,0.012134070095953575,46.0,44.78659299042192
9,1182.0,1342.24,2164.15,2164.221450833988,0.0714508339879103,15.0,22.14508339879103
7,1010.0,1514.03,2063.98,2063.786076994009,0.19392300599110968,98.0,78.60769940089085
8,892.0,1768.53,1902.37,1902.2029518798106,0.1670481201892926,37.0,20.29518798107165
6,825.0,1692.73,1817.77,1817.6068827065449,0.16311729345511594,77.0,60.68827065450023
8,1118.0,1758.52,1852.47,1852.5724872367787,0.10248723677864291,47.0,57.24872367785429
8,1064.0,1756.52,1857.04,1857.0267467292003,0.013253270799623351,4.0,2.6746729200240225
6,811.0,1252.04,1771.8,1771.572639738864,0.22736026113602748,80.0,57.26397388637997
7,889.0,1417.96,1826.08,1826.1913739277772,0.11137392777732202,8.0,19.13739277771674
9,1012.0,1429.04,1880.76,1880.944113808009,0.1841138080089877,76.0,94.41138080088422
6,909.0,1332.18,1720.21,1720.4782208401537,0.26822084015361725,21.0,47.82208401535172
9,1096.0,1690.22,1894.85,1894.8286222749666,0.021377725033289607,85.0,82.86222749666194
9,913.0,1021.29,1964.86,1964.9185605947625,0.058560594762639084,86.0,91.85605947626755
6,1006.0,1219.71,1803.97,1804.0911487424407,0.12114874244070961,97.0,9.114874244085513
6,907.0,1650.17,1737.86,1738.044476964022,0.18447696402199654,86.0,4.447696402203292
9,816.0,1171.81,1780.58,1780.6630958780681,0.08309587806820673,58.0,66.30958780681249
7,1006.0,1181.33,2279.82,2279.637413101701,0.18258689829917785,82.0000000000291,63.74131017009495
6,835.0,1404.28,1765.79,1765.8314198470298,0.041419847029828816,79.0,83.14198470299016
12,528.0,2476.41,1662.88,1662.9423927480386,0.06239274803851913,88.0,94.2392748038692
4,69.0,2321.49,322.0,322.2191774134769,0.21917741347692754,0.0,21.917741347693664
11,1179.0,31.36,1550.55,1550.4354316908486,0.11456830915130922,55.0,43.54316908487817
13,756.0,954.4,1793.07,1793.041597821939,0.028402178061014638,7.0,4.15978219389217
1,123.0,2076.65,1171.68,1171.638536293487,0.041463706513013676,68.0,63.853629348712275
3,1162.0,2152.66,1434.71,1434.7368617823506,0.026861782350579233,71.0,73.6861782350752
1,822.0,2170.53,1374.91,1375.0691605352956,0.1591605352955412,91.0,6.916053529566852
11,558.0,1549.86,1823.47,1823.1568627405002,0.3131372594998538,47.0,15.686274050007341
2,753.0,1111.16,1353.87,1353.7581953404829,0.1118046595170199,87.0,75.81953404829255
